31.6216 	EXP 	slider: autoDraw = True
31.6216 	EXP 	text: autoDraw = True
33.8061 	DATA 	Mouse: Left button down, pos=(945,190)
33.8216 	EXP 	slider: markerPos = 5.875
33.8216 	EXP 	unnamed Circle: pos = array([[ 0.25, -0.3 ]])
33.8380 	EXP 	slider: markerPos = 5.875
33.8550 	EXP 	slider: markerPos = 5.875
33.8714 	EXP 	slider: markerPos = 5.875
33.8883 	EXP 	slider: markerPos = 5.875
33.8910 	DATA 	Mouse:  Left button up, pos=(945,190)
33.9024 	EXP 	slider: markerPos = 5.875
33.9024 	EXP 	slider: rating = 5.875
33.9024 	EXP 	unnamed Circle: pos = array([[ 0.25, -0.3 ]])
33.9051 	EXP 	New trial (rep=0, index=7): OrderedDict([('color1', 'rose'), ('color2', 'yellow'), ('color1a', 'rose.png'), ('color2a', 'yellow.png')])
33.9225 	EXP 	image: autoDraw = False
33.9225 	EXP 	image_2: autoDraw = False
33.9225 	EXP 	slider: autoDraw = False
33.9225 	EXP 	text: autoDraw = False
33.9225 	EXP 	image: image = 'rose.png'
33.9225 	EXP 	image_2: image = 'yellow.png'
33.9225 	EXP 	slider: markerPos = None
33.9225 	EXP 	slider: markerPos = None
33.9225 	EXP 	slider: rating = None
33.9225 	EXP 	image: autoDraw = True
33.9225 	EXP 	image_2: autoDraw = True
33.9225 	EXP 	slider: autoDraw = True
33.9225 	EXP 	text: autoDraw = True
35.5595 	DATA 	Mouse: Left button down, pos=(722,169)
35.5874 	EXP 	slider: markerPos = 4.016666666666667
35.5874 	EXP 	unnamed Circle: pos = array([[ 0.00222222, -0.3       ]])
35.6046 	EXP 	slider: markerPos = 4.016666666666667
35.6216 	EXP 	slider: markerPos = 4.016666666666667
35.6384 	EXP 	slider: markerPos = 4.016666666666667
35.6549 	EXP 	slider: markerPos = 4.016666666666667
35.6564 	DATA 	Mouse:  Left button up, pos=(722,169)
35.6718 	EXP 	slider: markerPos = 4.016666666666667
35.6718 	EXP 	slider: rating = 4.016666666666667
35.6718 	EXP 	unnamed Circle: pos = array([[ 0.00222222, -0.3       ]])
35.6740 	EXP 	New trial (rep=0, index=8): OrderedDict([('color1', 'spring_green'), ('color2', 'red'), ('color1a', 'spring_green.png'), ('color2a', 'red.png')])
35.6878 	EXP 	image: autoDraw = False
35.6878 	EXP 	image_2: autoDraw = False
35.6878 	EXP 	slider: autoDraw = False
35.6878 	EXP 	text: autoDraw = False
35.6878 	EXP 	image: image = 'spring_green.png'
35.6878 	EXP 	image_2: image = 'red.png'
35.6878 	EXP 	slider: markerPos = None
35.6878 	EXP 	slider: markerPos = None
35.6878 	EXP 	slider: rating = None
35.6878 	EXP 	image: autoDraw = True
35.6878 	EXP 	image_2: autoDraw = True
35.6878 	EXP 	slider: autoDraw = True
35.6878 	EXP 	text: autoDraw = True
37.3931 	DATA 	Mouse: Left button down, pos=(1066,184)
37.4213 	EXP 	slider: markerPos = 6.883333333333333
37.4213 	EXP 	unnamed Circle: pos = array([[ 0.38444444, -0.3       ]])
37.4373 	EXP 	slider: markerPos = 6.883333333333333
37.4546 	EXP 	slider: markerPos = 6.883333333333333
37.4707 	EXP 	slider: markerPos = 6.883333333333333
37.4883 	EXP 	slider: markerPos = 6.883333333333333
37.4898 	DATA 	Mouse:  Left button up, pos=(1066,184)
37.5052 	EXP 	slider: markerPos = 6.883333333333333
37.5052 	EXP 	slider: rating = 6.883333333333333
37.5052 	EXP 	unnamed Circle: pos = array([[ 0.38444444, -0.3       ]])
37.5074 	EXP 	New trial (rep=0, index=9): OrderedDict([('color1', 'rose'), ('color2', 'spring_green'), ('color1a', 'rose.png'), ('color2a', 'spring_green.png')])
37.5215 	EXP 	image: autoDraw = False
37.5215 	EXP 	image_2: autoDraw = False
37.5215 	EXP 	slider: autoDraw = False
37.5215 	EXP 	text: autoDraw = False
37.5215 	EXP 	image: image = 'rose.png'
37.5215 	EXP 	image_2: image = 'spring_green.png'
37.5215 	EXP 	slider: markerPos = None
37.5215 	EXP 	slider: markerPos = None
37.5215 	EXP 	slider: rating = None
37.5215 	EXP 	image: autoDraw = True
37.5215 	EXP 	image_2: autoDraw = True
37.5215 	EXP 	slider: autoDraw = True
37.5215 	EXP 	text: autoDraw = True
39.5398 	DATA 	Mouse: Left button down, pos=(848,172)
39.5550 	EXP 	slider: markerPos = 5.066666666666666
39.5550 	EXP 	unnamed Circle: pos = array([[ 0.14222222, -0.3       ]])
39.5716 	EXP 	slider: markerPos = 5.066666666666666
39.5876 	EXP 	slider: markerPos = 5.066666666666666
39.6048 	EXP 	slider: markerPos = 5.066666666666666
39.6212 	EXP 	slider: markerPos = 5.066666666666666
39.6382 	EXP 	slider: markerPos = 5.066666666666666
39.6442 	DATA 	Mouse:  Left button up, pos=(848,172)
39.6520 	EXP 	slider: markerPos = 5.066666666666666
39.6716 	EXP 	slider: markerPos = 5.066666666666666
39.6716 	EXP 	slider: rating = 5.066666666666666
39.6716 	EXP 	unnamed Circle: pos = array([[ 0.14222222, -0.3       ]])
