trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,correct,rt,Face,participant,threshold,date,expName,psychopyVersion,frameRate,
37,1,75,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
38,0,76,0,0,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
38,1,77,1,0,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
39,0,78,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
39,1,79,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
40,0,80,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
40,1,81,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
41,0,82,1,0,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
41,1,83,0,0,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
42,0,84,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
42,1,85,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
43,0,86,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
43,1,87,1,0,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
44,0,88,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
44,1,89,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
45,0,90,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
45,1,91,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
46,0,92,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
46,1,93,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
47,0,94,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
47,1,95,1,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
48,0,96,1,0,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
48,1,97,0,1,0,Schematic,ideal,0.004,2019_Mar_17_1941,Face-ClassificationImage,3.0.4,60.254754934042296,
